parts_id,Line,Part,Description,Loc,Mfg,QOH,Qty  Available,Retail,Committed Qty,Seq #,Retail Alt,Repl Cost,Repl Cost Alt,Avg Cost Prc
654,ACL,5592A,COIL SPRINGS/ SALE PAIR,,,0,0,125.23,0,180300,125.23,50,50,50
655,ACL,5650A,"Coil Spring, Rear",,,0,0,76.92,0,180600,76.92,50,50,50
656,ACL,6381A,BRAKE CYLINDER,,ACL,1,1,52.74,0,180900,52.74,24,24,24
657,ACL,6715A,BRAKE HOSE,,,0,0,20.41,0,181200,20.41,10,10,10
658,ACL,6778A,REAR LEFT CALIPER,,,0,0,355,0,181500,355,300,300,300
659,ACL,6804A,R.L. CALIPER TRW,,,0,0,215.38,0,181600,215.38,140,140,140
660,ACL,6884A,ZIMMERMANN ROTOR,,ACL,0,0,197.86,0,181900,197.86,101,101,101
661,ACL,6907A,Rear Brake Disc,,,0,0,67.26,0,182200,67.26,30.6,30.6,30.6
662,ACL,6923A,PAD SENSOR,,,4,4,13.71,0,182500,13.71,6.24,6.24,6.24
663,ACL,6941A,"Brake Pads,Front/1111",,,0,0,89.23,0,182800,89.23,62,62,58
